3.6550 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
37.9821 	EXP 	window1: blendMode = 'avg'
37.9827 	EXP 	window1: blendMode = 'avg'
38.0015 	EXP 	window1: blendMode = 'avg'
38.0029 	EXP 	window1: blendMode = 'avg'
38.0040 	EXP 	window1: blendMode = 'avg'
38.0259 	EXP 	window1: blendMode = 'avg'
38.0269 	EXP 	window1: blendMode = 'avg'
38.0280 	EXP 	window1: blendMode = 'avg'
38.0407 	EXP 	window1: blendMode = 'avg'
38.0414 	EXP 	window1: blendMode = 'avg'
38.0420 	EXP 	window1: blendMode = 'avg'
38.0604 	EXP 	window1: blendMode = 'avg'
38.0607 	EXP 	window1: blendMode = 'avg'
38.0610 	EXP 	window1: blendMode = 'avg'
38.0771 	EXP 	window1: blendMode = 'avg'
38.0774 	EXP 	window1: blendMode = 'avg'
38.0775 	EXP 	window1: blendMode = 'avg'
38.0971 	EXP 	window1: blendMode = 'avg'
38.0973 	EXP 	window1: blendMode = 'avg'
38.0976 	EXP 	window1: blendMode = 'avg'
38.1180 	EXP 	window1: blendMode = 'avg'
38.1187 	EXP 	window1: blendMode = 'avg'
38.1191 	EXP 	window1: blendMode = 'avg'
38.1373 	EXP 	window1: blendMode = 'avg'
38.1375 	EXP 	window1: blendMode = 'avg'
38.1378 	EXP 	window1: blendMode = 'avg'
38.1571 	EXP 	window1: blendMode = 'avg'
38.1574 	EXP 	window1: blendMode = 'avg'
38.1577 	EXP 	window1: blendMode = 'avg'
38.1790 	EXP 	window1: blendMode = 'avg'
38.1793 	EXP 	window1: blendMode = 'avg'
38.1795 	EXP 	window1: blendMode = 'avg'
38.1987 	EXP 	window1: blendMode = 'avg'
38.1989 	EXP 	window1: blendMode = 'avg'
38.1992 	EXP 	window1: blendMode = 'avg'
38.2174 	EXP 	window1: blendMode = 'avg'
38.2177 	EXP 	window1: blendMode = 'avg'
38.2179 	EXP 	window1: blendMode = 'avg'
38.2374 	EXP 	window1: blendMode = 'avg'
38.2377 	EXP 	window1: blendMode = 'avg'
38.2379 	EXP 	window1: blendMode = 'avg'
38.2582 	EXP 	window1: blendMode = 'avg'
38.2586 	EXP 	window1: blendMode = 'avg'
38.2590 	EXP 	window1: blendMode = 'avg'
38.2778 	EXP 	window1: blendMode = 'avg'
38.2781 	EXP 	window1: blendMode = 'avg'
38.2783 	EXP 	window1: blendMode = 'avg'
38.2975 	EXP 	window1: blendMode = 'avg'
38.2977 	EXP 	window1: blendMode = 'avg'
38.2980 	EXP 	window1: blendMode = 'avg'
38.3171 	EXP 	window1: blendMode = 'avg'
38.3174 	EXP 	window1: blendMode = 'avg'
38.3178 	EXP 	window1: blendMode = 'avg'
38.3371 	EXP 	window1: blendMode = 'avg'
38.3374 	EXP 	window1: blendMode = 'avg'
38.3377 	EXP 	window1: blendMode = 'avg'
38.3571 	EXP 	window1: blendMode = 'avg'
38.3574 	EXP 	window1: blendMode = 'avg'
38.3576 	EXP 	window1: blendMode = 'avg'
38.3771 	EXP 	window1: blendMode = 'avg'
38.3774 	EXP 	window1: blendMode = 'avg'
38.3777 	EXP 	window1: blendMode = 'avg'
38.3987 	EXP 	window1: blendMode = 'avg'
38.3993 	EXP 	window1: blendMode = 'avg'
38.3998 	EXP 	window1: blendMode = 'avg'
38.4177 	EXP 	window1: blendMode = 'avg'
38.4182 	EXP 	window1: blendMode = 'avg'
38.4189 	EXP 	window1: blendMode = 'avg'
38.4375 	EXP 	window1: blendMode = 'avg'
38.4378 	EXP 	window1: blendMode = 'avg'
38.4381 	EXP 	window1: blendMode = 'avg'
38.4573 	EXP 	window1: blendMode = 'avg'
38.4577 	EXP 	window1: blendMode = 'avg'
38.4580 	EXP 	window1: blendMode = 'avg'
38.4799 	EXP 	window1: blendMode = 'avg'
38.4806 	EXP 	window1: blendMode = 'avg'
38.4812 	EXP 	window1: blendMode = 'avg'
38.4996 	EXP 	window1: blendMode = 'avg'
38.5000 	EXP 	window1: blendMode = 'avg'
38.5005 	EXP 	window1: blendMode = 'avg'
38.5191 	EXP 	window1: blendMode = 'avg'
38.5196 	EXP 	window1: blendMode = 'avg'
38.5203 	EXP 	window1: blendMode = 'avg'
38.5414 	EXP 	window1: blendMode = 'avg'
38.5421 	EXP 	window1: blendMode = 'avg'
38.5427 	EXP 	window1: blendMode = 'avg'
38.5612 	EXP 	window1: blendMode = 'avg'
38.5619 	EXP 	window1: blendMode = 'avg'
38.5787 	EXP 	Orientation_Cue: autoDraw = False
38.5809 	EXP 	window1: blendMode = 'avg'
38.5814 	EXP 	window1: blendMode = 'avg'
38.5823 	EXP 	window1: blendMode = 'avg'
38.5983 	EXP 	Ready_Cue: autoDraw = True
38.6003 	EXP 	window1: blendMode = 'avg'
38.6008 	EXP 	window1: blendMode = 'avg'
38.6012 	EXP 	window1: blendMode = 'avg'
38.6194 	EXP 	window1: blendMode = 'avg'
38.6202 	EXP 	window1: blendMode = 'avg'
38.6209 	EXP 	window1: blendMode = 'avg'
38.6396 	EXP 	window1: blendMode = 'avg'
38.6404 	EXP 	window1: blendMode = 'avg'
38.6410 	EXP 	window1: blendMode = 'avg'
38.6586 	EXP 	window1: blendMode = 'avg'
38.6594 	EXP 	window1: blendMode = 'avg'
38.6601 	EXP 	window1: blendMode = 'avg'
38.6795 	EXP 	window1: blendMode = 'avg'
38.6802 	EXP 	window1: blendMode = 'avg'
38.6807 	EXP 	window1: blendMode = 'avg'
38.6983 	EXP 	window1: blendMode = 'avg'
38.6988 	EXP 	window1: blendMode = 'avg'
38.6992 	EXP 	window1: blendMode = 'avg'
38.7175 	EXP 	window1: blendMode = 'avg'
38.7179 	EXP 	window1: blendMode = 'avg'
38.7183 	EXP 	window1: blendMode = 'avg'
38.7374 	EXP 	window1: blendMode = 'avg'
38.7379 	EXP 	window1: blendMode = 'avg'
38.7383 	EXP 	window1: blendMode = 'avg'
38.7580 	EXP 	window1: blendMode = 'avg'
38.7587 	EXP 	window1: blendMode = 'avg'
38.7594 	EXP 	window1: blendMode = 'avg'
38.7784 	EXP 	window1: blendMode = 'avg'
38.7789 	EXP 	window1: blendMode = 'avg'
38.7793 	EXP 	window1: blendMode = 'avg'
38.7974 	EXP 	window1: blendMode = 'avg'
38.7978 	EXP 	window1: blendMode = 'avg'
38.7982 	EXP 	window1: blendMode = 'avg'
38.8177 	EXP 	window1: blendMode = 'avg'
38.8181 	EXP 	window1: blendMode = 'avg'
38.8185 	EXP 	window1: blendMode = 'avg'
38.8384 	EXP 	window1: blendMode = 'avg'
38.8389 	EXP 	window1: blendMode = 'avg'
38.8393 	EXP 	window1: blendMode = 'avg'
38.8575 	EXP 	window1: blendMode = 'avg'
38.8580 	EXP 	window1: blendMode = 'avg'
38.8584 	EXP 	window1: blendMode = 'avg'
38.8771 	EXP 	window1: blendMode = 'avg'
38.8774 	EXP 	window1: blendMode = 'avg'
38.8776 	EXP 	window1: blendMode = 'avg'
38.8972 	EXP 	window1: blendMode = 'avg'
38.8976 	EXP 	window1: blendMode = 'avg'
38.8978 	EXP 	window1: blendMode = 'avg'
38.9170 	EXP 	window1: blendMode = 'avg'
38.9173 	EXP 	window1: blendMode = 'avg'
38.9175 	EXP 	window1: blendMode = 'avg'
38.9386 	EXP 	window1: blendMode = 'avg'
38.9392 	EXP 	window1: blendMode = 'avg'
38.9398 	EXP 	window1: blendMode = 'avg'
38.9594 	EXP 	window1: blendMode = 'avg'
38.9601 	EXP 	window1: blendMode = 'avg'
38.9608 	EXP 	window1: blendMode = 'avg'
38.9799 	EXP 	window1: blendMode = 'avg'
38.9807 	EXP 	window1: blendMode = 'avg'
38.9813 	EXP 	window1: blendMode = 'avg'
38.9989 	EXP 	window1: blendMode = 'avg'
38.9995 	EXP 	window1: blendMode = 'avg'
39.0001 	EXP 	window1: blendMode = 'avg'
39.0187 	EXP 	window1: blendMode = 'avg'
39.0193 	EXP 	window1: blendMode = 'avg'
39.0201 	EXP 	window1: blendMode = 'avg'
39.0399 	EXP 	window1: blendMode = 'avg'
39.0410 	EXP 	window1: blendMode = 'avg'
39.0420 	EXP 	window1: blendMode = 'avg'
39.0618 	EXP 	window1: blendMode = 'avg'
39.0624 	EXP 	window1: blendMode = 'avg'
39.0791 	EXP 	Ready_Cue: autoDraw = False
39.0805 	EXP 	window1: blendMode = 'avg'
39.0811 	EXP 	window1: blendMode = 'avg'
39.1003 	EXP 	Zoid_Left: autoDraw = True
39.1003 	EXP 	Zoid_Right: autoDraw = True
39.1018 	EXP 	window1: blendMode = 'avg'
39.1024 	EXP 	window1: blendMode = 'avg'
39.1192 	EXP 	window1: blendMode = 'avg'
39.1198 	EXP 	window1: blendMode = 'avg'
39.1397 	EXP 	window1: blendMode = 'avg'
39.1406 	EXP 	window1: blendMode = 'avg'
39.1595 	EXP 	window1: blendMode = 'avg'
39.1601 	EXP 	window1: blendMode = 'avg'
39.1794 	EXP 	window1: blendMode = 'avg'
39.1803 	EXP 	window1: blendMode = 'avg'
39.1991 	EXP 	window1: blendMode = 'avg'
39.1999 	EXP 	window1: blendMode = 'avg'
39.2193 	EXP 	window1: blendMode = 'avg'
39.2199 	EXP 	window1: blendMode = 'avg'
39.2401 	EXP 	window1: blendMode = 'avg'
39.2410 	EXP 	window1: blendMode = 'avg'
39.2592 	EXP 	window1: blendMode = 'avg'
39.2600 	EXP 	window1: blendMode = 'avg'
39.2800 	EXP 	window1: blendMode = 'avg'
39.2806 	EXP 	window1: blendMode = 'avg'
39.3001 	EXP 	window1: blendMode = 'avg'
39.3011 	EXP 	window1: blendMode = 'avg'
39.3192 	EXP 	window1: blendMode = 'avg'
39.3203 	EXP 	window1: blendMode = 'avg'
39.3415 	EXP 	window1: blendMode = 'avg'
39.3426 	EXP 	window1: blendMode = 'avg'
39.3595 	EXP 	window1: blendMode = 'avg'
39.3601 	EXP 	window1: blendMode = 'avg'
39.3786 	EXP 	window1: blendMode = 'avg'
39.3790 	EXP 	window1: blendMode = 'avg'
39.3995 	EXP 	window1: blendMode = 'avg'
39.4004 	EXP 	window1: blendMode = 'avg'
39.4182 	EXP 	window1: blendMode = 'avg'
39.4190 	EXP 	window1: blendMode = 'avg'
39.4398 	EXP 	window1: blendMode = 'avg'
39.4407 	EXP 	window1: blendMode = 'avg'
39.4572 	EXP 	window1: blendMode = 'avg'
39.4576 	EXP 	window1: blendMode = 'avg'
39.4780 	EXP 	window1: blendMode = 'avg'
39.4785 	EXP 	window1: blendMode = 'avg'
39.4976 	EXP 	window1: blendMode = 'avg'
39.4980 	EXP 	window1: blendMode = 'avg'
39.5169 	EXP 	window1: blendMode = 'avg'
39.5172 	EXP 	window1: blendMode = 'avg'
39.5371 	EXP 	window1: blendMode = 'avg'
39.5376 	EXP 	window1: blendMode = 'avg'
39.5607 	EXP 	window1: blendMode = 'avg'
39.5615 	EXP 	window1: blendMode = 'avg'
39.5806 	EXP 	window1: blendMode = 'avg'
39.5813 	EXP 	window1: blendMode = 'avg'
39.6014 	EXP 	window1: blendMode = 'avg'
39.6024 	EXP 	window1: blendMode = 'avg'
39.6187 	EXP 	window1: blendMode = 'avg'
39.6193 	EXP 	window1: blendMode = 'avg'
39.6390 	EXP 	window1: blendMode = 'avg'
39.6399 	EXP 	window1: blendMode = 'avg'
39.6582 	EXP 	window1: blendMode = 'avg'
